cycle_number,capacity_mean,capacity_last,pred_error_mean,pred_error_max,recon_error_mean,recon_error_max,score_mean,score_max,score_std,n_points,score_mean_over_threshold,score_max_over_threshold
484,1.4820775,1.4820775,0.027074557,0.028400898,0.0007216059,0.0026049614,0.027796162,0.03092289,0.0006418852,208,0,0
486,1.4795965,1.4772998,0.025596205,0.033459663,0.0013073895,0.013682604,0.026903594,0.036010742,0.0019388895,3838,0,0
488,1.4771155,1.4771155,0.0276323,0.029855013,0.0014996195,0.0050570965,0.029131917,0.03125,0.0010670602,307,0,0
490,1.4745964,1.4722646,0.024897337,0.03612566,0.0010772748,0.013678551,0.025974613,0.03954315,0.0017025606,3834,0,0
492,1.4720773,1.4720773,0.023800196,0.025798798,0.0010316886,0.005207062,0.024831884,0.02734375,0.0007442047,306,0,0
494,1.4721626,1.4722414,0.023585811,0.036331177,0.0010411458,0.0134551525,0.024626957,0.03994751,0.0015116591,3725,0,0
496,1.472248,1.472248,0.023582745,0.025320053,0.0014296388,0.005197525,0.025012383,0.02709961,0.0007589061,306,0,0
498,1.4696299,1.4672074,0.024626255,0.034472227,0.0011207518,0.0135576725,0.025747009,0.038548946,0.0017781848,3793,0,0
500,1.4670106,1.4670106,0.024109397,0.026786566,0.0014335657,0.005073786,0.025542961,0.027954102,0.0012247821,306,0,0
502,1.4643888,1.4619675,0.025076484,0.034617662,0.0009806616,0.01418066,0.026057145,0.039206028,0.0012967526,3700,0,0
504,1.4617672,1.4617672,0.02303225,0.025454044,0.0011393047,0.0054297447,0.024171554,0.026245117,0.0008952453,305,0,0
506,1.4592313,1.4568936,0.024653174,0.03428006,0.0008774608,0.014308214,0.025530634,0.038049698,0.0014135194,3609,0,0
508,1.4566953,1.4566953,0.023046657,0.025228262,0.00057610555,0.0050451756,0.023622762,0.025878906,0.00095459557,304,0,0
510,1.4540259,1.4515538,0.025237072,0.03353083,0.0005582817,0.014448166,0.025795354,0.039595842,0.0011508713,3805,0,0
512,1.451355,1.451355,0.025888983,0.026836634,0.00042795663,0.0047795773,0.026316937,0.029052734,0.0005537759,304,0,0
514,1.4514854,1.4516062,0.02636706,0.033353567,0.000866186,0.013997078,0.027233245,0.038753033,0.00085594493,3774,0,0
516,1.4516159,1.4516159,0.025575418,0.026477695,0.00040470847,0.0051385164,0.025980128,0.028930664,0.00054988323,304,0,0
518,1.449216,1.4469955,0.027617218,0.033911824,0.001115622,0.014557719,0.028732842,0.03853655,0.001358387,3764,0,0
520,1.4468161,1.4468161,0.028323954,0.030638456,0.00057744427,0.005372286,0.0289014,0.03137207,0.0018595197,303,0,0
522,1.4467866,1.4467595,0.026544059,0.03449881,0.0013961815,0.015140891,0.02794024,0.039212465,0.0018126583,3528,0,0
524,1.4467571,1.4467571,0.028415209,0.030719638,0.0005407282,0.005535245,0.028955938,0.03149414,0.00193572,303,0,0
526,1.4440684,1.4415832,0.027903281,0.038833857,0.0008381884,0.015192151,0.028741471,0.04471636,0.0015581204,3717,0,0
528,1.4413798,1.4413798,0.029347247,0.030791879,0.000706724,0.0059512854,0.03005397,0.032470703,0.00074143126,302,0,0
530,1.4388133,1.4364387,0.0293497,0.040934086,0.0012710355,0.014994979,0.030620735,0.043538094,0.0011812038,3741,0,0
532,1.4362457,1.4362457,0.0316618,0.033703446,0.0014091406,0.0076783895,0.03307094,0.03552246,0.0012486369,302,0,0
534,1.4365305,1.4367944,0.029682845,0.04009652,0.0014931059,0.0152231455,0.03117595,0.042838812,0.0011235088,3827,0,0
536,1.4368154,1.4368154,0.031296875,0.033408046,0.001464344,0.008217931,0.03276122,0.035888672,0.0015262966,302,0,0
538,1.4365549,1.436315,0.029661762,0.03932953,0.0014747902,0.015266299,0.03113655,0.04289317,0.0012651114,3548,0,0
540,1.4362946,1.4362946,0.031359866,0.033514142,0.0014684497,0.007989764,0.032828316,0.0357666,0.0014981747,301,0,0
542,1.4390754,1.4416482,0.029464567,0.03924358,0.001223425,0.01497221,0.030687993,0.044910192,0.0015000316,3737,0,0
544,1.4418576,1.4418576,0.028968139,0.03062296,0.0005342376,0.005387783,0.029502377,0.031582832,0.0010496016,302,0,0
546,1.4545258,1.4662659,0.026005737,0.03436613,0.0013880515,0.014218569,0.02739379,0.039423466,0.0021138056,3821,0,0
547,1.4672064,1.4672064,0.025558839,0.027860165,0.0015745742,0.005587101,0.027133413,0.029541016,0.001316438,305,0,0
549,1.4595333,1.4524283,0.024307061,0.03262627,0.0010906473,0.013771296,0.025397709,0.03729844,0.0011611955,3828,0,0
551,1.451864,1.451864,0.025663426,0.02662468,0.00049244217,0.0042591095,0.026155869,0.028320312,0.00049887516,303,0,0
553,1.449501,1.4473152,0.028195558,0.033760786,0.0009339812,0.014699817,0.029129539,0.03968954,0.0013689138,3750,0,0
555,1.447138,1.447138,0.028943077,0.030683994,0.00088040245,0.0043501854,0.02982348,0.032071114,0.0015003204,302,0,0
557,1.4444649,1.4420009,0.028319262,0.03862405,0.001231047,0.014682174,0.029550308,0.043446064,0.0015372187,3563,0,0
559,1.4417906,1.4417906,0.029006124,0.030593038,0.0007062282,0.0052956343,0.029712351,0.03140092,0.00083330343,302,0,0
561,1.4367108,1.4320153,0.030059276,0.041206956,0.0013850902,0.015602827,0.031444367,0.045562267,0.0010892896,3690,0,0
563,1.431631,1.431631,0.031788323,0.034069538,0.00082570297,0.006946087,0.032614026,0.035888672,0.0020460258,301,0,0
565,1.4317197,1.4318018,0.030077988,0.04154253,0.0015489539,0.015743732,0.03162694,0.045365334,0.0017219514,3730,0,0
567,1.4318085,1.4318085,0.031587575,0.034069538,0.0007636032,0.007434368,0.03235118,0.0357666,0.0023042592,301,0,0
569,1.4290323,1.4264697,0.02751057,0.041450977,0.0020001254,0.015758514,0.029510695,0.04567051,0.003374479,3629,0,0
571,1.4262563,1.4262563,0.028729673,0.03328371,0.0010410595,0.0073657036,0.029770734,0.036010742,0.0031509772,300,0,0
573,1.426172,1.426094,0.025928458,0.041425228,0.0017215961,0.01510942,0.027650055,0.04549694,0.002350635,3740,0,0
575,1.4260877,1.4260877,0.028597768,0.03302729,0.0009506941,0.007377982,0.02954846,0.03527832,0.0031539362,300,0,0
577,1.4236755,1.4214388,0.026621249,0.040670156,0.0016507437,0.015485287,0.02827199,0.043498516,0.0016828367,3824,0,0
579,1.4212633,1.4212633,0.027614571,0.03001964,0.0018340836,0.008798718,0.029448653,0.033935547,0.0025192983,299,0,0
581,1.4187952,1.4165155,0.028671307,0.036136627,0.0026356874,0.015070438,0.031306993,0.040053606,0.0013984466,3634,0,0
583,1.4163272,1.4163272,0.029221369,0.032781005,0.0025989136,0.0095773935,0.031820286,0.036987305,0.0034780225,299,0,0
585,1.4164526,1.4165686,0.029405447,0.036130548,0.0027038897,0.013838053,0.03210934,0.039546013,0.0015796034,3640,0,0
587,1.4165782,1.4165782,0.029064504,0.032557845,0.0026360813,0.009922624,0.031700585,0.036743164,0.0036279305,298,0,0
589,1.4137099,1.411054,0.029906051,0.038894296,0.002633619,0.014491439,0.03253967,0.04325056,0.0022381027,3726,0,0
591,1.4108402,1.4108402,0.029416317,0.034224987,0.0028146065,0.009598255,0.032230925,0.03918457,0.0047381674,298,0,0
593,1.4109176,1.4109892,0.030345984,0.038915753,0.0030655153,0.011384487,0.0334115,0.04291916,0.0025222688,3685,0,0
595,1.410995,1.410995,0.029299963,0.03413403,0.002840066,0.010055423,0.03214003,0.03930664,0.0046693995,298,0,0
597,1.4085833,1.4063561,0.030720847,0.04004562,0.0028246252,0.011609316,0.03354547,0.043226004,0.0016957421,3594,0,0
599,1.4061714,1.4061714,0.030245742,0.035275698,0.003755906,0.010988951,0.03400165,0.040161133,0.0021993998,297,0,0
601,1.4062536,1.4063296,0.031174265,0.03982997,0.0028806643,0.0109694,0.03405493,0.04296875,0.001663969,3643,0,0
603,1.4063358,1.4063358,0.03020949,0.035171628,0.0038098025,0.011459231,0.034019295,0.040283203,0.0022191221,297,0,0
605,1.4033957,1.4006726,0.034021974,0.04042077,0.002767778,0.011012912,0.03678975,0.04446459,0.0014249103,3736,0,0
607,1.4004552,1.4004552,0.036114085,0.038011312,0.0030844596,0.010450602,0.039198544,0.045043945,0.0013254555,297,0,0
609,1.4111181,1.4209423,0.030000765,0.036698222,0.0041609644,0.009106159,0.034161728,0.040771484,0.0019893192,3492,0,0
611,1.4217865,1.4217865,0.026820472,0.029422045,0.0012231433,0.009274244,0.028043617,0.032592773,0.0028635752,298,0,0
612,1.4271182,1.4320426,0.025600042,0.040534854,0.0021416892,0.01469183,0.027741732,0.04248047,0.0019380096,3604,0,0
613,1.4324553,1.4324553,0.030759105,0.034034252,0.0013303312,0.008568287,0.03208944,0.03527832,0.0023853665,300,0,0
615,1.4328707,1.4328762,0.029092694,0.03200543,0.0021573068,0.0035244226,0.03125,0.034057617,0.0028300837,5,0,0
